Postcode District,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile
E15,Room,20,676,527,570,642
E15,Studio,10,922,900,945,"1,000"
E15,One Bedroom,150,"1,231","1,100","1,200","1,300"
E15,Two Bedrooms,210,"1,466","1,350","1,450","1,550"
E15,Three Bedrooms,90,"1,731","1,600","1,750","1,850"
E15,Four or More Bedrooms,30,"2,157","1,950","2,008","2,300"
E16,Room,10,656,621,650,708
E16,Studio,20,"1,182","1,097","1,175","1,300"
E16,One Bedroom,140,"1,278","1,170","1,255","1,365"
E16,Two Bedrooms,250,"1,544","1,387","1,550","1,650"
E16,Three Bedrooms,80,"1,843","1,695","1,894","2,000"
E16,Four or More Bedrooms,10,"2,258","2,000","2,100","2,600"
E17,Room,10,496,442,473,535
E17,Studio,40,850,790,848,950
E17,One Bedroom,210,"1,106","1,000","1,100","1,200"
E17,Two Bedrooms,290,"1,349","1,250","1,350","1,450"
E17,Three Bedrooms,120,"1,694","1,550","1,700","1,800"
E17,Four or More Bedrooms,60,"2,109","1,830","2,000","2,300"
E18,Room,0,.,.,.,.
E18,Studio,10,802,711,800,900
E18,One Bedroom,60,"1,080","1,000","1,075","1,150"
E18,Two Bedrooms,110,"1,324","1,250","1,300","1,400"
E18,Three Bedrooms,30,"1,571","1,495","1,550","1,700"
E18,Four or More Bedrooms,20,"2,281","2,050","2,250","2,500"
E1W,Room,0,.,.,.,.
E1W,Studio,20,"1,340","1,192","1,300","1,473"
E1W,One Bedroom,90,"1,577","1,387","1,560","1,712"
E1W,Two Bedrooms,130,"2,001","1,690","1,900","2,275"
E1W,Three Bedrooms,20,"2,874","2,037","2,780","3,250"
E1W,Four or More Bedrooms,10,"3,406","2,578","3,012","3,098"
E2,Room,10,669,600,646,750
E2,Studio,20,"1,412","1,081","1,207","1,419"
E2,One Bedroom,130,"1,460","1,300","1,450","1,560"
E2,Two Bedrooms,130,"1,847","1,625","1,750","2,000"
E2,Three Bedrooms,50,"2,348","2,058","2,200","2,600"
E2,Four or More Bedrooms,30,"2,957","2,600","2,950","3,200"
E20,Room,0,.,.,.,.
E20,Studio,0,.,.,.,.
E20,One Bedroom,-,..,..,..,..
E20,Two Bedrooms,-,..,..,..,..
E20,Three Bedrooms,-,..,..,..,..
E20,Four or More Bedrooms,0,.,.,.,.
E3,Room,10,652,574,650,715
E3,Studio,30,"1,215","1,150","1,200","1,257"
E3,One Bedroom,200,"1,319","1,250","1,300","1,387"
E3,Two Bedrooms,240,"1,592","1,500","1,595","1,673"
E3,Three Bedrooms,100,"2,125","1,918","2,120","2,321"
E3,Four or More Bedrooms,40,"2,698","2,500","2,600","3,000"
E4,Room,0,.,.,.,.
E4,Studio,-,..,..,..,..
E4,One Bedroom,90,990,900,997,"1,050"
E4,Two Bedrooms,140,"1,219","1,150","1,200","1,300"
E4,Three Bedrooms,60,"1,500","1,400","1,500","1,600"
E4,Four or More Bedrooms,20,"1,837","1,700","1,850","1,900"
E5,Room,-,..,..,..,..
E5,Studio,10,900,678,850,"1,100"
E5,One Bedroom,40,"1,302","1,225","1,300","1,425"
E5,Two Bedrooms,50,"1,659","1,473","1,647","1,800"
