,Postcode District,Bedroom Category,Count of rents,Mean
565,HA1,0,80,"1,000"
566,HA1,1,160,"1,152"
567,HA1,2,200,"1,354"
568,HA1,3,60,"1,608"
569,HA1,4,30,"2,253"
571,HA2,0,30,795
572,HA2,1,80,"1,052"
573,HA2,2,120,"1,256"
574,HA2,3,110,"1,571"
575,HA2,4,30,"1,875"
577,HA3,0,50,785
578,HA3,1,100,986
579,HA3,2,180,"1,261"
580,HA3,3,220,"1,621"
581,HA3,4,120,"2,050"
583,HA4,0,-,..
584,HA4,1,40,"1,028"
585,HA4,2,80,"1,266"
586,HA4,3,20,"1,495"
587,HA4,4,10,"2,070"
589,HA5,0,10,741
590,HA5,1,40,"1,035"
591,HA5,2,120,"1,295"
592,HA5,3,40,"1,663"
593,HA5,4,50,"2,554"
595,HA6,0,20,790
596,HA6,1,80,997
597,HA6,2,140,"1,317"
598,HA6,3,60,"1,715"
599,HA6,4,40,"2,476"
601,HA7,0,10,793
602,HA7,1,50,"1,191"
603,HA7,2,100,"1,418"
604,HA7,3,70,"1,691"
605,HA7,4,30,"2,187"
607,HA8,0,10,806
608,HA8,1,60,"1,064"
609,HA8,2,120,"1,333"
610,HA8,3,100,"1,645"
611,HA8,4,60,"2,175"
613,HA9,0,30,912
614,HA9,1,100,"1,164"
615,HA9,2,150,"1,413"
616,HA9,3,60,"1,675"
617,HA9,4,40,"2,122"
619,IG1,0,10,810
620,IG1,1,70,931
621,IG1,2,80,"1,226"
622,IG1,3,40,"1,504"
623,IG1,4,20,"2,115"
625,IG11,0,10,750
626,IG11,1,140,"1,017"
627,IG11,2,150,"1,227"
628,IG11,3,90,"1,505"
629,IG11,4,20,"1,677"
631,IG2,0,10,770
632,IG2,1,40,"1,032"
633,IG2,2,60,"1,260"
634,IG2,3,30,"1,589"
635,IG2,4,10,"1,856"
637,IG3,0,10,727
638,IG3,1,40,919
639,IG3,2,40,"1,191"
640,IG3,3,30,"1,537"
641,IG3,4,20,"1,836"
643,IG4,0,-,..
644,IG4,1,10,"1,013"
645,IG4,2,10,"1,224"
646,IG4,3,-,..
647,IG4,4,10,"1,969"
649,IG5,0,-,..
650,IG5,1,0,.
651,IG5,2,10,"1,119"
652,IG5,3,10,"1,514"
653,IG5,4,10,"1,936"
655,IG6,0,-,..
656,IG6,1,30,980
657,IG6,2,40,"1,188"
658,IG6,3,60,"1,514"
659,IG6,4,10,"1,915"
661,IG7,0,0,.
662,IG7,1,10,957
663,IG7,2,10,"1,207"
664,IG7,3,10,"1,442"
665,IG7,4,-,..
667,IG8,0,-,..
668,IG8,1,20,"1,007"
669,IG8,2,70,"1,341"
670,IG8,3,50,"1,616"
671,IG8,4,20,"2,299"
673,IG9,0,0,.
674,IG9,1,10,"1,009"
675,IG9,2,-,..
676,IG9,3,0,.
677,IG9,4,-,..
679,KT1,0,10,916
680,KT1,1,70,"1,133"
681,KT1,2,130,"1,401"
682,KT1,3,40,"1,587"
683,KT1,4,30,"2,260"
685,KT17,0,0,.
686,KT17,1,0,.
687,KT17,2,0,.
688,KT17,3,0,.
689,KT17,4,0,.
691,KT18,0,0,.
692,KT18,1,0,.
693,KT18,2,0,.
694,KT18,3,0,.
695,KT18,4,0,.
697,KT19,0,0,.
698,KT19,1,0,.
699,KT19,2,0,.
700,KT19,3,0,.
701,KT19,4,0,.
703,KT2,0,10,867
704,KT2,1,80,"1,137"
705,KT2,2,160,"1,432"
706,KT2,3,40,"1,848"
707,KT2,4,30,"2,899"
709,KT22,0,0,.
710,KT22,1,0,.
711,KT22,2,0,.
712,KT22,3,0,.
713,KT22,4,0,.
715,KT3,0,-,..
716,KT3,1,20,"1,077"
717,KT3,2,40,"1,279"
718,KT3,3,30,"1,687"
719,KT3,4,10,"2,383"
721,KT4,0,0,.
722,KT4,1,20,"1,045"
723,KT4,2,30,"1,364"
724,KT4,3,20,"1,637"
725,KT4,4,10,"2,206"
727,KT5,0,10,834
728,KT5,1,10,"1,015"
729,KT5,2,20,"1,289"
730,KT5,3,10,"1,714"
731,KT5,4,10,"2,593"
733,KT6,0,10,777
734,KT6,1,40,"1,052"
735,KT6,2,60,"1,313"
736,KT6,3,20,"1,473"
737,KT6,4,10,"2,793"
739,KT7,0,0,.
740,KT7,1,0,.
741,KT7,2,0,.
742,KT7,3,0,.
743,KT7,4,0,.
745,KT8,0,-,..
746,KT8,1,-,..
747,KT8,2,-,..
748,KT8,3,0,.
749,KT8,4,0,.
751,KT9,0,0,.
752,KT9,1,-,..
753,KT9,2,10,"1,137"
754,KT9,3,10,"1,555"
755,KT9,4,-,..
757,N1,0,30,"1,274"
758,N1,1,260,"1,687"
759,N1,2,290,"2,133"
760,N1,3,90,"2,688"
761,N1,4,20,"3,310"
763,N10,0,20,827
764,N10,1,80,"1,298"
765,N10,2,130,"1,601"
766,N10,3,60,"1,920"
767,N10,4,40,"2,149"
769,N11,0,10,806
770,N11,1,80,"1,183"
771,N11,2,140,"1,420"
772,N11,3,30,"1,732"
773,N11,4,10,"2,416"
775,N12,0,20,872
776,N12,1,60,"1,157"
777,N12,2,80,"1,393"
778,N12,3,30,"1,778"
779,N12,4,10,"2,348"
781,N13,0,30,824
782,N13,1,40,"1,045"
783,N13,2,60,"1,356"
784,N13,3,20,"1,621"
785,N13,4,10,"2,138"
787,N14,0,10,871
788,N14,1,30,"1,111"
789,N14,2,70,"1,353"
790,N14,3,20,"1,735"
791,N14,4,20,"2,261"
793,N15,0,20,943
794,N15,1,20,"1,169"
795,N15,2,30,"1,376"
796,N15,3,10,"1,659"
797,N15,4,10,"2,205"
799,N16,0,20,931
800,N16,1,120,"1,334"
801,N16,2,110,"1,631"
802,N16,3,40,"2,317"
803,N16,4,20,"2,960"
805,N17,0,10,692
806,N17,1,10,"1,080"
807,N17,2,20,"1,402"
808,N17,3,10,"1,772"
809,N17,4,10,"1,929"
811,N18,0,10,736
812,N18,1,10,"1,072"
813,N18,2,20,"1,290"
814,N18,3,10,"1,342"
815,N18,4,-,..
817,N19,0,30,"1,035"
818,N19,1,120,"1,405"
819,N19,2,110,"1,665"
820,N19,3,70,"2,229"
821,N19,4,40,"2,902"
823,N1C,0,-,..
824,N1C,1,-,..
825,N1C,2,-,..
826,N1C,3,0,.
827,N1C,4,0,.
829,N1P,0,0,.
830,N1P,1,0,.
831,N1P,2,0,.
832,N1P,3,0,.
833,N1P,4,0,.
835,N2,0,10,"1,002"
836,N2,1,50,"1,222"
837,N2,2,110,"1,533"
838,N2,3,50,"1,824"
839,N2,4,30,"3,783"
841,N20,0,-,..
842,N20,1,30,"1,182"
843,N20,2,60,"1,453"
844,N20,3,30,"1,892"
845,N20,4,30,"2,250"
847,N21,0,-,..
848,N21,1,10,"1,098"
849,N21,2,20,"1,341"
850,N21,3,10,"1,690"
